abnormality|body|height	HP:0000002
reduced|activity|n-acetylglucosaminyltransferase|ii	HP:0003655
decreased|beta-glucocerebrosidase|protein|activity	HP:0003656
granular|osmiophilic|deposits|(grod)|cells	HP:0003657
hypomethioninemia	HP:0003658
amyotrophy|musculature|pelvis	HP:0003665
large|beaked|nose	HP:0003683
centrally|nucleated|skeletal|muscle|fibers	HP:0003687
decreased|activity|cytochrome|oxidase|muscle|tissue	HP:0003688
multiple|mitochondrial|dna|deletions	HP:0003689
limb|muscle|weakness	HP:0003690
scapular|winging	HP:0003691
distal|amyotrophy	HP:0003693
late-onset|proximal|muscle|weakness	HP:0003694
absent|epiphysis|distal|phalanx|5th|finger	HP:0003696
scapuloperoneal|amyotrophy	HP:0003697
difficulty|standing	HP:0003698
generalized|amyotrophy	HP:0003700
proximal|muscle|weakness	HP:0003701
scapuloperoneal|weakness	HP:0003704
calf|muscle|pseudohypertrophy	HP:0003707
exercise-induced|muscle|cramps	HP:0003710
muscle|hypertrophy	HP:0003712
muscle|fiber|necrosis	HP:0003713
myofibrillar|myopathy	HP:0003715
generalized|muscular|appearance|birth	HP:0003716
minimal|subcutaneous|fat	HP:0003717
muscle|mounding	HP:0003719
generalized|muscle|hypertrophy	HP:0003720
neck|flexor|weakness	HP:0003722
shoulder|girdle|muscle|atrophy	HP:0003724
firm|muscles	HP:0003725
enteroviral|dermatomyositis|syndrome	HP:0003729
emg:|myotonic|runs	HP:0003730
quadriceps|muscle|weakness	HP:0003731
thigh|hypertrophy	HP:0003733
autophagic|vacuoles	HP:0003736
mitochondrial|myopathy	HP:0003737
exercise-induced|myalgia	HP:0003738
myoclonic|spasms	HP:0003739
myotonia|warm-up|phenomenon	HP:0003740
congenital|muscular|dystrophy	HP:0003741
pelvic|girdle|muscle|weakness	HP:0003749
increased|muscle|fatiguability	HP:0003750
episodic|flaccid|weakness	HP:0003752
type|1|fibers|smaller|type|2|fibers	HP:0003755
skeletal|myopathy	HP:0003756
reduced|subcutaneous|adipose|tissue	HP:0003758
hypoplasia|lymphatic|vessels	HP:0003759
percussion-induced|rapid|rolling|muscle|contractions|(pirc)	HP:0003760
calcinosis	HP:0003761
uterus|didelphys	HP:0003762
bruxism	HP:0003763
nevus	HP:0003764
psoriasis	HP:0003765
periodic|paralysis	HP:0003768
pulp|stones	HP:0003771
stage|5|chronic|kidney|disease	HP:0003774
pili|torti	HP:0003777
short|mandibular|rami	HP:0003778
antegonial|notching|mandible	HP:0003779
excessive|salivation	HP:0003781
eunuchoid|habitus	HP:0003782
externally|rotated/abducted|legs	HP:0003783
type|1|collagen|overmodification	HP:0003784
decreased|csf|homovanillic|acid|(hva)	HP:0003785
type|1|type|2|muscle|fiber|minicore|regions	HP:0003787
minicore|(multicore)|myopathy	HP:0003789
deposits|immunoreactive|beta-amyloid|protein	HP:0003791
short|middle|phalanx|toe	HP:0003795
irregular|iliac|crest	HP:0003796
limb-girdle|muscle|atrophy	HP:0003797
nemaline|bodies	HP:0003798
marked|delay|bone|age	HP:0003799
muscle|abnormality|related|mitochondrial|dysfunction	HP:0003800
type|1|muscle|fiber|predominance	HP:0003803
rimmed|vacuoles	HP:0003805
abnormal|muscle|tone	HP:0003808
complete|absence|metabolically|active|adipose|tissue|(subcutaneous|intraabdominal|intrathoracic)	HP:0003809
late-onset|distal|muscle|weakness	HP:0003810
abnormality|tibial|plateaux	HP:0003832
laterally|deficient|tibial|plateaux	HP:0003833
shoulder|dislocation	HP:0003834
shoulder|subluxation	HP:0003835
stippled|calcification|shoulder	HP:0003836
soft-tissue|ossification|shoulders	HP:0003837
abnormality|involving|epiphyses|upper|limbs	HP:0003839
delayed|upper|limb|epiphyseal|ossification	HP:0003840
fragmented|epiphyses|upper|limbs	HP:0003841
irregular|epiphyses|upper|limbs	HP:0003842
round|epiphyses|upper|limbs	HP:0003843
small|epiphyses|upper|limbs	HP:0003844
wide|epiphyseal|plates|upper|limbs	HP:0003846
cupped|metaphyses|upper|limbs	HP:0003848
flared|metaphyses|upper|limbs	HP:0003849
irregular|metaphyses|upper|limbs	HP:0003850
lytic|defects|metaphyses|upper|limbs	HP:0003851
normal|density|transverse|bands|metaphyses|upper|limbs	HP:0003852
sclerosis|transverse|striations|metaphyses|upper|limbs	HP:0003853
sclerosis|metaphyses|upper|limbs	HP:0003854
spurred|metaphyses|upper|limbs	HP:0003855
upper|limb|metaphyseal|widening	HP:0003856
cortical|diaphyseal|irregularity|upper|limbs	HP:0003858
cortical|diaphyseal|thickening|upper|limbs	HP:0003859
diaphyseal|sclerosis|upper|limbs	HP:0003860
broad|diaphyses|upper|limbs	HP:0003861
absent|humerus	HP:0003862
angulated|humerus	HP:0003863
bifid|humerus	HP:0003864
bowed|humerus	HP:0003865
coarse|trabeculae|(humeral)	HP:0003866
cortical|irregularity|(humeral)	HP:0003867
cortical|thickening|(humeral)	HP:0003868
cortical|thinning|(humeral)	HP:0003869
crumpled|humerus	HP:0003870
deformed|humerus	HP:0003871
exostoses|(humeral)	HP:0003872
humerus|varus	HP:0003874
lytic|defects|(humeral)	HP:0003875
osteoporotic|humerus	HP:0003876
oval|transradiancy|(humeral)	HP:0003877
periosteal|bone|(humeral)	HP:0003878
pseudarthrosis|(humeral)	HP:0003879
sclerotic|foci|humerus	HP:0003880
humeral|sclerosis	HP:0003881
slender|humerus	HP:0003882
tapered|humerus	HP:0003883
triangular|humerus	HP:0003884
undermodeled|humerus	HP:0003885
wide|humerus	HP:0003886
abnormality|humeral|heads	HP:0003887
flattened|humeral|heads	HP:0003888
abnormality|deltoid|tuberosities	HP:0003889
prominent|deltoid|tuberosities	HP:0003890
abnormality|humeral|epiphysis	HP:0003891
absent|humeral|epiphyseal|ossification	HP:0003892
advanced|ossification|humeral|epiphysis	HP:0003893
delayed|humeral|epiphyseal|ossification	HP:0003894
flattened|humeral|epiphyses	HP:0003895
irregular|humeral|epiphyses	HP:0003896
irregular|ossification|humeral|epiphyses	HP:0003897
large|humeral|epiphyses	HP:0003898
round|humeral|epiphyses	HP:0003899
small|humeral|epiphyses	HP:0003900
stippled|calcification|humeral|epiphyses	HP:0003901
epiphyseal|stippling|humerus	HP:0003902
broad|humeral|epiphyses	HP:0003903
wide|epiphyses|upper|limbs	HP:0003904
abnormality|humeral|epiphyseal|plate	HP:0003905
broad|humeral|epiphyseal|plate	HP:0003906
abnormality|humeral|metaphyses	HP:0003907
corner|spurs|(humeral|metaphyses)	HP:0003908
cortical|subperiosteal|resorption|(humeral|metaphyses)	HP:0003909
enlarged|humeral|metaphyses	HP:0003910
flared|humeral|metaphysis	HP:0003911
frayed|humeral|metaphyses	HP:0003912
irregular|humeral|metaphyses	HP:0003913
irregular|ossification|humeral|metaphyses	HP:0003914
lytic|defects|humeral|metaphsis	HP:0003915
normal-density|transverse|bands|(humerus)	HP:0003916
pointed|humeral|metaphysis	HP:0003917
sclerotic|humeral|metaphysis	HP:0003918
sclerotic|humeral|metaphysis|longitudinal|striations	HP:0003919
sloping|humeral|metaphysis	HP:0003920
laterally|sloping|humeral|metaphysis	HP:0003921
spurred|humeral|metaphysis	HP:0003922
square|humeral|metaphysis	HP:0003923
stippled|calcification|humeral|metaphysis	HP:0003924
abnormality|humeral|diaphysis	HP:0003926
cortical|irregularity|humeral|diaphysis	HP:0003927
cortical|thickening|humeral|diaphysis	HP:0003928
ground|glass|opacity|humeral|diaphysis	HP:0003929
lytic|defects|humeral|diaphysis	HP:0003930
periosteal|bone|(humeral|diaphysis)	HP:0003931
sclerotic|foci|humeral|diaphysis	HP:0003932
sclerosis|humeral|diaphysis	HP:0003933
slender|humeral|diaphysis	HP:0003934
wide|humeral|diaphysis	HP:0003935
synostosis|involving|elbow	HP:0003938
humeroulnar|synostosis	HP:0003939
osteoarthritis|elbow	HP:0003940
stippled|calcification|elbow	HP:0003941
synovial|chondromatosis|elbow	HP:0003942
abnormality|joint|spaces|elbow	HP:0003943
narrow|joint|spaces|elbow	HP:0003944
irregular|articular|surfaces|elbow|joints	HP:0003945
abnormality|epiphyses|elbow	HP:0003946
delayed|elbow|epiphyseal|ossification	HP:0003947
irregular|epiphyses|elbow	HP:0003948
abnormality|elbow|metaphyses	HP:0003949
flared|metaphyses|(elbow)	HP:0003950
irregular|metaphyses|(elbow)	HP:0003951
sclerotic|foci|metaphyses|elbow	HP:0003952
absent|forearm|bone	HP:0003953
angulated|forearm|bones	HP:0003954
bone-in-a-bone|appearance|(forearm)	HP:0003955
bowed|forearm|bones	HP:0003956
cortical|thickening|forearm|bones	HP:0003957
cross-fusion|forearm|bones	HP:0003958
deformed|forearm|bones	HP:0003959
exostoses|forearm|bones	HP:0003960
fractured|forearm|bones	HP:0003961
lytic|defects|forearm|bones	HP:0003963
osteoporotic|forearm|bones	HP:0003964
pseudarthrosis|forearm|bones	HP:0003965
sclerotic|foci|forearm|bones	HP:0003966
sclerotic|forearm|bones	HP:0003967
slender|forearm|bones	HP:0003969
undermodelled|forearm|bones	HP:0003970
broad|forearm|bones	HP:0003971
wide|radioulnar|joints	HP:0003973
absent|radius	HP:0003974
chevron-shaped/cone-shaped|radius	HP:0003975
constricted|radius	HP:0003976
deformed|radius	HP:0003977
fractured|radius	HP:0003978
lytic|defects|radius	HP:0003979
pseudarthrosis|radius	HP:0003980
broad|radius	HP:0003981
absent|ulna	HP:0003982
posteriorly|dislocated|ulna	HP:0003984
exostoses|ulna	HP:0003985
exostoses|radius	HP:0003986
fractured|ulna	HP:0003987
long|ulna	HP:0003988
notched|ulna	HP:0003989
pointed|ulna	HP:0003990
osteosclerosis|ulna	HP:0003991
slender|ulna	HP:0003992
broad|ulna	HP:0003993
dislocated|wrist	HP:0003994
abnormality|radial|head	HP:0003995
flattened|radial|head	HP:0003996
hypoplastic|radial|head	HP:0003997
constricted|radial|neck	HP:0003998
abnormality|radial|epiphyses	HP:0003999
chevron-shaped/cone-shaped|radial|epiphyses	HP:0004000
medially|deficient|radial|epiphyses	HP:0004001
flattened|radial|epiphyses	HP:0004002
medially|flattened|radial|epiphyses	HP:0004003
irregular|radial|epiphyses	HP:0004004
large|radial|epiphyses	HP:0004005
round|radial|epiphyses	HP:0004006
sclerotic|radial|epiphyses	HP:0004007
sloping|radial|epiphyses	HP:0004008
medially|sloping|radial|epiphyses	HP:0004009
small|radial|epiphyses	HP:0004010
premature|fusion|radial|epiphyseal|plates	HP:0004012
medially|fused|radial|epiphyseal|plates	HP:0004013
broad|radial|epiphyseal|plate	HP:0004014
abnormality|radial|metaphyses	HP:0004015
cupped|radial|metaphyses	HP:0004016
exostoses|radial|metaphysis	HP:0004017
flared|radial|metaphyses	HP:0004018
irregular|radial|metaphysis	HP:0004019
irregular|ossification|radial|metaphysis	HP:0004020
lytic|defects|radial|metaphysis	HP:0004021
sclerotic|radial|metaphysis|longitudinal|striations	HP:0004022
sloping|radial|metaphysis	HP:0004023
medially|sloping|radial|metaphysis	HP:0004024
spurred|radial|metaphysis	HP:0004025
broad|radial|metaphysis	HP:0004026
abnormality|radial|diaphysis	HP:0004027
spurs|radial|diaphysis	HP:0004028
lytic|defects|radial|diaphysis	HP:0004029
patchy|sclerosis|radial|diaphysis	HP:0004030
broad|radial|diaphysis	HP:0004031
abnormality|olecranon	HP:0004032
curved|olecranon	HP:0004033
irregular|olecranon	HP:0004034
abnormality|styloid|process	HP:0004035
long|styloid|process	HP:0004036
abnormality|ulnar|epiphyses	HP:0004037
bony|spikule|ulnar|epiphyseal|plate	HP:0004038
abnormality|ulnar|metaphysis	HP:0004039
corner|fragments|ulnar|metaphysis	HP:0004040
cupped|ulnar|metaphysis	HP:0004041
irregular|ulnar|metaphysis	HP:0004042
lytic|defects|ulnar|metaphysis	HP:0004043
pointed|ulnar|metaphysis	HP:0004044
sloping|ulnar|metaphysis	HP:0004045
spurred|ulnar|metaphysis	HP:0004046
wide|ulnar|metaphysis	HP:0004047
narrow|joint|spaces|wrist	HP:0004048
decreased|carpal|angles|wrist	HP:0004049
absent|hand	HP:0004050
advanced|ossification|hand|bones	HP:0004051
delayed|ossification|hand|bones	HP:0004052
dysharmonic|maturation|hand|bones	HP:0004053
sclerosis|hand|bone	HP:0004054
mitten|deformity	HP:0004057
monodactyly|(hands)	HP:0004058
radial|club|hand	HP:0004059
trident|hand	HP:0004060
curved|fingers	HP:0004095
deviation|finger	HP:0004097
macrodactyly	HP:0004099
abnormality|2nd|finger	HP:0004100
midline|nasal|groove	HP:0004112
midline|defect|nose	HP:0004122
dimple|nasal|tip	HP:0004132
abnormality|3rd|finger	HP:0004150
abnormality|middle|phalanx|3rd|finger	HP:0004172
short|distal|phalanx|3rd|finger	HP:0004180
abnormality|4th|finger	HP:0004188
osteolytic|defects|phalanges|4th|finger	HP:0004195
symphalangism|4th|finger	HP:0004197
abnormality|5th|finger	HP:0004207
clinodactyly|5th|finger	HP:0004209
abnormality|phalanges|5th|finger	HP:0004213
curved|phalanges|5th|finger	HP:0004214
osteolytic|defects|phalanges|5th|finger	HP:0004216
symphalangism|5th|finger	HP:0004218
abnormality|middle|phalanx|5th|finger	HP:0004219
short|middle|phalanx|5th|finger	HP:0004220
cone-shaped|epiphysis|distal|phalanx|5th|finger	HP:0004222
ivory|epiphysis|distal|phalanx|5th|finger	HP:0004223
abnormality|epiphysis|middle|phalanx|5th|finger	HP:0004224
abnormality|distal|phalanx|5th|finger	HP:0004225
curved|distal|phalanx|5th|finger	HP:0004226
short|distal|phalanx|5th|finger	HP:0004227
subluxation|proximal|interphalangeal|joint|finger	HP:0004230
carpal|bone|aplasia	HP:0004231
accessory|carpal|bones	HP:0004232
advanced|ossification|carpal|bones	HP:0004233
bone-in-a-bone|appearance|carpal|bones	HP:0004234
comma-shaped|carpal|bones	HP:0004235
irregular|carpal|bones	HP:0004236
large|carpal|bones	HP:0004237
lytic|defects|carpal|bones	HP:0004238
proximally|carpal|bones	HP:0004239
sclerotic|foci|carpal|bones	HP:0004240
stippled|calcification|carpal|bones	HP:0004241
broad|carpal|bones	HP:0004242
abnormality|scaphoid	HP:0004243
accessory|scaphoid	HP:0004244
comma-shaped|scaphoid	HP:0004245
delayed|ossification|scaphoid	HP:0004246
small|scaphoid	HP:0004247
abnormality|lunate|bone	HP:0004248
accessory|lunate	HP:0004249
proximally|lunate	HP:0004250
lunate-triquetral|fusion	HP:0004251
abnormality|trapezium	HP:0004252
absent|trapezium/absent|ossification|trapezium	HP:0004253
delayed|ossification|trapezium	HP:0004254
small|trapezium	HP:0004255
abnormality|trapezoid|bone	HP:0004256
delayed|ossification|trapezoid|bone	HP:0004257
small|trapezoid|bone	HP:0004258
abnormality|hamate|bone	HP:0004259
large|hamate|bone	HP:0004260
wide|hamate|bone	HP:0004261
abnormality|capitate|bone	HP:0004262
large|capitate|bone	HP:0004263
narrow|carpal|joint|spaces	HP:0004264
narrow|small|joints|hand	HP:0004267
osteoarthritis|small|joints|hand	HP:0004268
subluxation|small|joints|hand	HP:0004269
cortical|thickening|hand|bones	HP:0004271
cortical|thinning|hand|bones	HP:0004272
cupped|metaphyses|hand|bones	HP:0004273
deficient|ossification|hand|bones	HP:0004274
duplication|hand|bones	HP:0004275
exostoses|hand|bones	HP:0004276
fractured|hand|bones	HP:0004277
synostosis|involving|bones|hand	HP:0004278
short|palm	HP:0004279
irregular|ossification|hand|bones	HP:0004280
irregular|sclerosis|hand|bones	HP:0004281
narrow|palm	HP:0004283
notched|hand|bones	HP:0004284
overmodelled|hand|bones	HP:0004285
patchy|sclerosis|hand|bones	HP:0004286
pointed|hand|bones	HP:0004287
pseudoepiphyses|hand|bones	HP:0004288
sclerotic|foci|hand|bones	HP:0004289
sclerosis|hand|bones|transverse|striations	HP:0004290
stippled|calcification|hand|bones	HP:0004291
undermodelled|hand|bones	HP:0004292
synostosis|metacarpal-trapezoid	HP:0004293
subluxation|metacarpal|phalangeal|joints	HP:0004294
abnormality|gastric|mucosa	HP:0004295
abnormality|gastrointestinal|vasculature	HP:0004296
abnormality|biliary|system	HP:0004297
abnormality|abdominal|wall	HP:0004298
hernia|abdominal|wall	HP:0004299
functional|motor|problems.	HP:0004302
abnormality|muscle|fibers	HP:0004303
involuntary|movements	HP:0004305
abnormality|endocardium	HP:0004306
abnormal|anatomic|location|heart	HP:0004307
ventricular|arrhythmia	HP:0004308
ventricular|preexcitation	HP:0004309
abnormality|macrophages	HP:0004311
abnormality|reticulocytes	HP:0004312
hypogammaglobulinemia	HP:0004313
igg|deficiency	HP:0004315
hypoaldosteronism	HP:0004319
vaginal|fistula	HP:0004320
bladder|fistula	HP:0004321
short|stature	HP:0004322
abnormality|body|weight	HP:0004323
increased|body|weight	HP:0004324
decreased|body|weight	HP:0004325
cachexia	HP:0004326
abnormality|vitreous|humor	HP:0004327
abnormality|anterior|segment|eye	HP:0004328
abnormality|posterior|segment|eye	HP:0004329
increased|skull|ossification	HP:0004330
decreased|skull|ossification	HP:0004331
abnormality|lymphocytes	HP:0004332
bone-marrow|foam|cells	HP:0004333
dermal|atrophy	HP:0004334
myelin|outfoldings	HP:0004336
abnormality|amino|acid|metabolism	HP:0004337
abnormality|aromatic|amino|acid|family|metabolism	HP:0004338
abnormality|sulfur|amino|acid|metabolism	HP:0004339
abnormality|vitamin|metabolism	HP:0004340
abnormality|vitamin|b12|metabolism	HP:0004341
abnormality|galactoside|metabolism	HP:0004342
abnormality|glycosphingolipid|metabolism	HP:0004343
abnormality|cerebrosidase|metabolism	HP:0004344
abnormality|ganglioside|metabolism	HP:0004345
weakness|muscles|respiration	HP:0004347
abnormality|bone|mineral|density	HP:0004348
reduced|bone|mineral|density	HP:0004349
abnormality|purine|metabolism	HP:0004352
abnormality|pyrimidine|metabolism	HP:0004353
abnormality|carboxylic|acid|metabolism	HP:0004354
abnormality|proteoglycan|metabolism	HP:0004355
abnormality|lysosomal|metabolism	HP:0004356
abnormality|leucine|metabolism	HP:0004357
abnormality|superoxide|metabolism	HP:0004358
abnormality|fatty-acid|metabolism	HP:0004359
abnormality|acid-base|homeostasis	HP:0004360
abnormality|circulating|leptin|level	HP:0004361
abnormality|enteric|ganglia	HP:0004362
abnormality|calcium|homeostasis	HP:0004363
abnormality|nitrogen|compound|homeostasis	HP:0004364
abnormality|tryptophan|metabolism	HP:0004365
abnormality|glycolysis	HP:0004366
abnormality|glycoprotein|metabolism	HP:0004367
increased|purine|levels	HP:0004368
decreased|purine|levels	HP:0004369
abnormality|temperature|regulation	HP:0004370
abnormality|glycosaminoglycan|metabolism	HP:0004371
reduced|consciousness/confusion	HP:0004372
focal|dystonia	HP:0004373
hemiplegia/hemiparesis	HP:0004374
neoplasm|nervous|system	HP:0004375
neuroblastic|tumors	HP:0004376
hematological|neoplasm	HP:0004377
abnormality|anus	HP:0004378
abnormality|alkaline|phosphatase|activity	HP:0004379
aortic|valve|calcification	HP:0004380
supravalvular|aortic|stenosis	HP:0004381
mitral|valve|calcification	HP:0004382
hypoplastic|left|heart	HP:0004383
type|truncus|arteriosus	HP:0004384
protracted|diarrhea	HP:0004385
gastrointestinal|inflammation	HP:0004386
enterocolitis	HP:0004387
microcolon	HP:0004388
intestinal|pseudo-obstruction	HP:0004389
hamartomatous|polyps	HP:0004390
prune|belly	HP:0004392
multiple|gastric|polyps	HP:0004394
malnutrition	HP:0004395
poor|appetite	HP:0004396
ectopic|anus	HP:0004397
peptic|ulcer	HP:0004398
congenital|pyloric|atresia	HP:0004399
abnormality|pylorus	HP:0004400
meconium|ileus	HP:0004401
proximal|esophageal|atresia	HP:0004403
abnormality|nipple	HP:0004404
prominent|nipples	HP:0004405
spontaneous|recurrent|epistaxis	HP:0004406
bony|paranasal|bossing	HP:0004407
abnormality|sense|smell	HP:0004408
hyposmia	HP:0004409
deviated|nasal|septum	HP:0004411
abnormality|pulmonary|artery	HP:0004414
pulmonary|artery|stenosis	HP:0004415
precocious|atherosclerosis	HP:0004416
intermittent|claudication	HP:0004417
thrombophlebitis	HP:0004418
recurrent|thrombophlebitis	HP:0004419
arterial|thrombosis	HP:0004420
elevated|systolic|blood|pressure	HP:0004421
biparietal|narrowing	HP:0004422
cranium|bifidum|occultum	HP:0004423
flat|forehead	HP:0004425
abnormality|cheeks	HP:0004426
elfin|facies	HP:0004428
recurrent|viral|infections	HP:0004429
severe|combined|immunodeficiency	HP:0004430
complement|deficiency	HP:0004431
agammaglobulinemia	HP:0004432
secretory|iga|deficiency	HP:0004433
c8|deficiency	HP:0004434
cranial|hyperostosis	HP:0004437
hyperostosis|frontalis|interna	HP:0004438
craniofacial|dysostosis	HP:0004439
coronal|craniosynostosis	HP:0004440
sagittal|craniosynostosis	HP:0004442
lambdoidal|craniosynostosis	HP:0004443
spherocytosis	HP:0004444
elliptocytosis	HP:0004445
stomatocytosis	HP:0004446
poikilocytosis	HP:0004447
fulminant|hepatic|failure	HP:0004448
preauricular|skin|furrow	HP:0004450
postauricular|skin|tag	HP:0004451
abnormality|middle|ear|ossicles	HP:0004452
overfolding|superior|helices	HP:0004453
abnormal|middle|ear|reflexes	HP:0004454
dilatated|internal|auditory|canal	HP:0004458
exostosis|external|auditory|canal	HP:0004459
congenital|earlobe|sinuses	HP:0004461
absent|brainstem|auditory|responses	HP:0004463
postauricular|pit	HP:0004464
prolonged|brainstem|auditory|evoked|potentials	HP:0004466
preauricular|pit	HP:0004467
anomalous|tracheal|cartilage	HP:0004468
chronic|bronchitis	HP:0004469
atretic|occipital|cephalocele	HP:0004470
aplasia|cutis|congenita|scalp|vertex	HP:0004471
mandibular|hyperostosis	HP:0004472
persistent|open|anterior|fontanelle	HP:0004474
aplasia|cutis|congenita|parietal|area	HP:0004476
ethmoidal|encephalocele	HP:0004478
progressive|macrocephaly	HP:0004481
relative|macrocephaly	HP:0004482
craniofacial|asymmetry	HP:0004484
cessation|head|growth	HP:0004485
acrobrachycephaly	HP:0004487
macrocephaly|birth	HP:0004488
calvarial|hyperostosis	HP:0004490
large|posterior|fontanelle	HP:0004491
widely|patent|fontanelles|sutures	HP:0004492
craniofacial|hyperostosis	HP:0004493
thin|anteverted|nares	HP:0004495
posterior|choanal|atresia	HP:0004496
chronic|rhinitis|narrow|nasal|airway	HP:0004499
bilateral|choanal|atresia	HP:0004502
pancreatic|islet-cell|hyperplasia	HP:0004510
long|eyebrows	HP:0004523
temporal|hypotrichosis	HP:0004524
large|clumps|pigment|irregularly|distributed|hair|shaft	HP:0004527
generalized|hypotrichosis	HP:0004528
atrophic|patchy|alopecia	HP:0004529
sacral|hypertrichosis	HP:0004532
anterior|cervical|hypertrichosis	HP:0004535
congenital|generalized|hypertrichosis	HP:0004540
pointed|frontal|hairline	HP:0004544
scarring|alopecia|scalp	HP:0004552
generalized|hypertrichosis	HP:0004554
anterior|vertebral|fusion	HP:0004557
cervical|platyspondyly	HP:0004558
beaking|vertebral|bodies|t12-l3	HP:0004562
increased|spinal|bone|density	HP:0004563
severe|platyspondyly	HP:0004565
pear-shaped|vertebrae	HP:0004566
beaking|vertebral|bodies	HP:0004568
increased|vertebral|height	HP:0004570
widening|cervical|spinal|canal	HP:0004571
anterior|wedging|t11	HP:0004573
fusion|midcervical|facet|joints	HP:0004575
sclerotic|vertebral|endplates	HP:0004576
anterior|scalloping|vertebral|bodies	HP:0004580
increased|anterior|vertebral|height	HP:0004581
irregularity|vertebral|bodies	HP:0004582
biconcave|vertebral|bodies	HP:0004586
dysplasia|lumbar|vertebra	HP:0004589
hypoplastic|sacrum	HP:0004590
disc-like|vertebral|bodies	HP:0004591
thoracic|platyspondyly	HP:0004592
hump-shaped|mound|bone|central|posterior|portions|vertebral|endplate	HP:0004594
supernumerary|vertebral|ossification|centers	HP:0004598
absent|minimally|ossified|vertebral|bodies	HP:0004599
spina|bifida|occulta|l5	HP:0004601
cervical|vertebral|fusion|(c2/c3)	HP:0004602
hyperconvex|vertebral|body|endplates	HP:0004603
absent|vertebral|body|mineralization	HP:0004605
unossified|vertebral|bodies	HP:0004606
anterior|beaking|lower|thoracic|vertebrae	HP:0004607
anteriorly|odontoid|process	HP:0004608
patchy|distortion|vertebrae	HP:0004609
lumbar|spinal|canal|stenosis	HP:0004610
anterior|concavity|thoracic|vertebrae	HP:0004611
cervical|spine|segmentation|defects	HP:0004612
spina|bifida|occulta|s1	HP:0004614
cleft|vertebral|arch	HP:0004616
butterfly|vertebral|arch	HP:0004617
sandwich|appearance|vertebral|bodies	HP:0004618
lumbar|kyphoscoliosis	HP:0004619
enlarged|vertebral|pedicles	HP:0004621
progressive|intervertebral|space|narrowing	HP:0004622
biconvex|vertebral|bodies	HP:0004625
lumbar|scoliosis	HP:0004626
small|cervical|vertebral|bodies	HP:0004629
anterior|beaking|thoracic|vertebrae	HP:0004630
decreased|cervical|spine|flexion|contractures|posterior|cervical|muscles	HP:0004631
cervical|segmentation|defects	HP:0004632
lower|thoracic|kyphosis	HP:0004633
cuboid-shaped|vertebral|bodies	HP:0004634
cervical|vertebrae|fusion|(c5/c6)	HP:0004635
decreased|cervical|spine|mobility	HP:0004637
elevated|amniotic|fluid|alpha-fetoprotein	HP:0004639
hypoplasia|nasal|bone	HP:0004646
hypoplasia|facial|musculature	HP:0004660
frontalis|muscle|weakness	HP:0004661
facial|midline|hemangioma	HP:0004664
decreased|facial|expression	HP:0004673
prominent|supraorbital|arches|adult	HP:0004676
large|tarsal|bones	HP:0004679
deep|longitudinal|plantar|crease	HP:0004681
talipes|valgus	HP:0004684
short|metatarsal	HP:0004686
irregular|tarsal|bones	HP:0004688
short|fourth|metatarsal	HP:0004689
thickened|achilles|tendon	HP:0004690
2-3|toe|syndactyly	HP:0004691
4-5|toe|syndactyly	HP:0004692
calcaneal|epiphyseal|stippling	HP:0004695
talipes|cavus|equinovarus	HP:0004696
osteoporotic|metatarsal	HP:0004699
short|metatarsal	HP:0004704
renal|malrotation	HP:0004712
reversible|renal|failure	HP:0004713
axial|malrotation|kidney	HP:0004717
hyperechogenic|kidneys	HP:0004719
thickening|glomerular|basement|membrane	HP:0004722
calcium|nephrolithiasis	HP:0004724
impaired|renal|concentrating|ability	HP:0004727
acute|tubulointerstitial|nephritis	HP:0004729
impaired|renal|uric|acid|clearance	HP:0004732
renal|cortical|microcysts	HP:0004734
crossed|fused|renal|ectopia	HP:0004736
global|glomerulosclerosis	HP:0004737
abnormality|renal|collecting|system	HP:0004742
chronic|tubulointerstitial|nephritis	HP:0004743
dense|deposit|disease	HP:0004746
atrial|flutter	HP:0004749
paroxysmal|ventricular|tachycardia	HP:0004751
congenital|atrioventricular|dissociation	HP:0004752
permanent|atrial|fibrillation	HP:0004754
supraventricular|tachycardia	HP:0004755
ventricular|tachycardia	HP:0004756
paroxysmal|atrial|fibrillation	HP:0004757
effort-induced|polymorphic|ventricular|tachycardias	HP:0004758
nodular|calcific|aortic|valve|disease	HP:0004759
congenital|septal|defect	HP:0004760
post-angioplasty|coronary|artery|restenosis	HP:0004761
hypoplasia|right|ventricle	HP:0004762
paroxysmal|supraventricular|tachycardia	HP:0004763
myxomatous|mitral|valve|degeneration	HP:0004764
episodic|supraventricular|tachycardia	HP:0004765
sparse|anterior|scalp|hair	HP:0004768
premature|graying|body|hair	HP:0004771
brittle|scalp|hair	HP:0004779
elbow|hypertrichosis	HP:0004780
hypotrichosis|scalp	HP:0004782
duodenal|polyposis	HP:0004783
juvenile|gastrointestinal|polyposis	HP:0004784
malrotation|colon	HP:0004785
jejunal|diverticula	HP:0004786
fulminant|hepatitis	HP:0004787
intestinal|lymphedema	HP:0004788
lactose|intolerance	HP:0004789
hypoplasia|small|intestine	HP:0004790
esophageal|ulceration	HP:0004791
rectoperineal|fistula	HP:0004792
malrotation|small|bowel	HP:0004794
hamartomatous|stomach|polyps	HP:0004795
gastrointestinal|obstruction	HP:0004796
multiple|small|bowel|atresias	HP:0004797
