relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation
RELATION_GENEHPOTERM_SCPDFS_22149.pdf_303_303_2_2_16_17	MPP4/HP:0000510|Retinitis pigmentosa	{2}	{16,17}	{Characterization,of,MPP4,",",a,gene,highly,expressed,in,photoreceptor,cells,",",and,mutation,analysis,in,retinitis,pigmentosa,.}	{"Nature 351 , 325-329 .","Conte , I. , et al. , 2002 ."}	{"Gene 297 , 33-38 .","Conte , 1. , et a1. , 2003 ."}	0.498
RELATION_GENEHPOTERM_journal.pone.0039682.pdf_42_42_26_26_15_16	EGFR/HP:0003003|Colon cancer	{26}	{15,16}	{Additionally,",",overexpression,of,EGFR,has,been,reported,in,up,to,85,%,of,human,colon,cancers,[,"20,2",l,",22,23,24",],",",and,expression,of,EGFR,in,colon,cancer,is,correlated,with,a,more,aggressive,disease,and,poor,patient,prognosis,[,"25,26,27,28",],.}	{"The numerous signaling cascades that radiate from EGFR , including the Akt , extracellular signal regulated kinase ( ERK ) 1 / 2 , and signal transducer and activator of transcription ( STAT ) 3 pathways , mediate a variety of mitogenic , metastatic , and other tumor-promoting cellular activities .","Signaling through EGFR is up-regulated in colon cancer [ 18 ] , and inhibition of signaling through EGFR has been shown to prevent colon tumor formation [ 19 ] ."}	{"Collectively , these data implicate EGFR as a master signal capable of driving colon tumorigenesis .","For these reasons , EGFR is an attractive target for therapeutic intervention ; thus , intense efforts have been made to inhibit the"}	0.514
RELATION_GENEHPOTERM_journal.pone.0092408.pdf_769_769_27_27_30_32	SOD1/HP:0007354|Amyotrophic lateral sclerosis	{27}	{30,31,32}	{Cao,X,",",Antonyuk,SV,",",Seetharaman,SV,",",VVhitson,L,],",",Taylor,AB,",",et,al.,(,2008,),Structures,of,the,G85R,variant,of,SOD1,in,familial,amyotrophic,lateral,sclerosis,],Biol,Chem,283,:,16169416177,.}	{"Toichi K , Yamanaka K , F urukawa Y ( 2013 ) Disulfide scrambling describes the oligomer formation of superoxide dismutase ( SOD 1 ) proteins in the familial form of a_myotrophic lateral sclerosis . ]","Biol Chem 288 : 497044980 ."}	{"Hough IVIA , Grossmann ] G , Antonyuk SV , Strange RVV , Doucette PA , et al. ( 2004 ) Dimer destabilization in superoxide dismutase may result in disease » causing properties : structures of motor neuron disease mutants .","Proc Natl Acad Sci U S A 101 : 597645981 ."}	0.52
RELATION_GENEHPOTERM_journal.pone.0095875.pdf_9_9_11_11_9_9	SC/HP:0100753|Schizophrenia	{11}	{9}	{Extensive,changes,in,DNA,methylation,have,been,observed,in,schizophrenia,(,SC,),and,bipolar,disorder,(,BP,),",",and,may,contribute,to,the,pathogenesis,of,these,disorders,.}	{"1 Departments of Psychiatry , Texas Tech University Health Science Center , El Paso , Texas , United States of America , 2Col | ege of Bioinformatics Science and Technology , Harbin Medical University , Harbin , Heilongjiang , China , 3The Center of Excellence in Neuroscience , Texas Tech University Health Science Center , El Paso , Texas , United States of America , 4Southwest Brain Bank , Department of Psychiatry , University of Texas Health Science Center at San Antonio , San Antonio , Texas , United States of America , 5 University of Toronto , Toronto , Canada",Abstract}	{"Here , we performed genome — sca | e DNA methylation profiling using methylated DNA immunoprecipitation followed by sequencing ( MeDIP — seq ) on two brain regions ( including frontal cortex and anterior cingulate ) in 5 SC , 7 BP and 6 normal subjects .","Comparing with normal controls , we identified substantial differentially methylated regions ( DMRs ) in these two brain regions of SC and BP ."}	0.55
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_40381.pdf_242_242_9_9_4_4_UNSUP	FAA/HP:0001903|Anemia	{9}	{4}	{Mutations,of,the,Fanconi,anemia,group,A,gene,(,FAA,),in,Italian,patients,.}	{"23 : 256-260 .","Savino , M. , Ianzano , L. , Strippoli , P. , Ramenghi , U. , Arslanian , A. , Bagnara , G. P. , Joenje , H. , Zelante , L. , and Savoia , A. ( 1997 ) ."}	{"Am .","J. Hum ."}	0.724
RELATION_GENEHPOTERM_journal.pone.0048957.pdf_243_243_0_0_11_11	IV/HP:0003124|Hypercholesterolemia	{0}	{11}	{IV,",",and,previously,diagnosed,with,signiﬁcant,comorbidities,including,hypertension,and,hypercholesterolemia,.}	{"Most of the patients were men ( 85 % ) with a mean age of 53 $ 10 years , a mean NYHA functional classiﬁcation of III .","— ."}	{"Table 1 shows the clinical characteristics of patients according to aetiology of HF .","The ICM group showed with respect to the DCM group a signiﬁcant increase in age ( p < o. ol ) , prevalence of hypertension ( p < 0.05 ) , cholesterol levels ( p < o. ol ) and fractional shortening ( FS ) ( p < 0.05 ) ."}	0.484
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_41875.pdf_23_23_2_2_16_16_UNSUP	CATCH22/HP:0002901|Hypocalcemia	{2}	{16}	{The,acronym,CATCH22,(,cardiac,anomaly,",",abnormal,face,",",thymic,hypoplasia,",",cleft,palate,",",hypocalcemia,",",and,chromosome,22,deletions,),has,been,proposed,to,summarize,the,various,phenotypic,signs,that,may,be,associ1}	{"© 1996 Academic Press , Inc. .","INTRO DUCTIO N"}	{"To whom correspondence should be addressed at Department of Molecular and Human Genetics , Baylor College of Medicine , One Baylor Plaza , T936 , Houston , TX 77030 .","Telephone : (713) 798-6519 ."}	0.842
RELATION_GENEHPOTERM_journal.pone.0082347.pdf_413_413_5_6_11_11	apolipoprotein_E/HP:0000501|Glaucoma	{5,6}	{11}	{(,2006,),Association,of,apolipoprotein,E,polymorphisms,with,normal,tension,glaucoma,in,a,Chinese,population,.}	{"PubMed : 16110302 .","Lam CY , Fan BJ , Wang DY , Tam PO , Tham et al Yung ."}	{"J Glaucoma 15 : 218-222 .","doi : 10.1097 / 01 ."}	0.208
RELATION_GENEHPOTERM_journal.pone.0023112.pdf_366_366_39_39_24_24	CT/HP:0000726|Dementia	{39}	{24}	{Johst,KA,",",Barnetson,LP,",",Shepstone,BJ,(,1998,),Accurate,prediction,of,histologically,confirmed,Alzheimer,’s,disease,and,the,diflerential,diagnosis,of,dementia,:,the,use,of,NINCDS-ADRDA,and,DSIVI-III-R,criteria,",",SPECT,",",X,»,ray,CT,",",and,Apo,E4,in,medial,temporal,lobe,dementias,.}	{"Alzheimer ’s Disease Centers Consortium on Apolipoprotein E and Alzheimer ’s Disease .","N EnglJ lVIed 338 : 506 — 5l 1 ."}	{"Int Psychogeriatr 10 : 27l — 302 .",.}	0.538
RELATION_GENEHPOTERM_SCPDFS_48137.pdf_214_214_1_1_12_12	EA2/HP:0001336|Myoclonus	{1}	{12}	{Like,EA2,and,MHP,",",tg,(,associated,with,mild,ataxia,and,myoclonus,),and,tglﬂ,(,associated,with,a,severe,",",progressive,form,of,ataxia,and,absence,seizures,",",but,not,myoclonus,),were,not,originally,thought,to,be,allelic,.}	{"SCA6 patients suffer from a late — onset , progressive and severe form of ataxia , but many patients experience episodic spells of weakness in the earliest stages of the disease54 .","Concurrent with human studies , the classical mouse mutations tottering ( tg ) and leaner ( tglﬂ ) were shown to represent defects in the murine homolog of CACNLZA4 ( Refs 9 , 10 ) ."}	{"EA2 and tgl “ are caused by similar mutations that result in frame shifts or premature stops in the oL — subunit protein , while the tg allele represents a missense mutation in the domain 11 voltage — sensing segment and yields a mutant protein very similar to that encoded by certain MHP alleles3 '10 ( Fig .","2b ) ."}	0.51
RELATION_GENEHPOTERM_journal.pgen.1001324.pdf_184_184_3_3_13_14	GCKR/HP:0001397|Hepatic steatosis	{3}	{13,14}	{Thus,",",at,GCKR,an,alternate,model,of,action,of,how,the,CT,hepatic,steatosis,associated,variant,affects,hepatic,steatosis,is,via,altering,GCKR,function,rather,than,via,altering,expression,of,C200,‘,?}	{"Because alteration of PPP ] R3B expression has been shown to affect serum lipid levels [ 13 ] one possibility is that changes in expression of this gene could mediate its effect on hepatic steatosis .","For GCKR , the variant with the lowest p-value of association with CT hepatic steatosis is in high LD with a missense variant in GGKR which has been shown to affect GCKR function [ 30 ] ."}	{"6 .","Further functional work will be needed to prove that these variants exert their effects on hepatic steatosis via these possible mechanisms ."}	0.498
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_47874.pdf_312_312_7_7_28_28_UNSUP	PITX3/HP:0000518|Cataract	{7}	{28}	{(,1998,),A,novel,homeobox,gene,PITX3,is,5,cKusick,",",V.,(,1997,),Online,Mendelian,Inheritance,in,Man,",",mutatec,in,families,with,autosomal,dominant,cataracts,oMlM,(,TM,),.}	{"Genet .","20 , 258-266 184 , 61-71 21 Semina , E. etal ."}	{"Centre for Medical Genetics , Johns Hopkins and ASMD .","Nat ."}	0.228
RELATION_GENEHPOTERM_journal.pone.0088474.pdf_318_318_3_3_8_8	UCP2/HP:0003006|Neuroblastoma	{3}	{8}	{The,detection,of,UCP2,in,cell,lines,(,neuroblastoma,",",BV-2,),shown,in,this,work,may,indicate,that,metabolism,of,neuroblastoma,cells,is,not,comparable,to,that,of,native,neurons,.}	{"The direct proof for protein up-regulation is elusive , because of difficulties in isolating the amount of primary cells sufficient for WB analysis .","However , this hypothesis would explain the reports of several groups including our own , concerning the trace of UCP2 in lung and intestine [ 12,45 ] as an alternative to the previously given explanation that relies on the invasion of immune cells [ 12 ] ."}	{"Therefore , caution is required in studies of cell metabolism when using corresponding cell lines that express UCP2 as a characteristic feature .","Moreover , the overexpression of UCP2 in cells that normally lack this protein may present inaccurate results because of its intervention in metabolism , which is not typical for the primary cells ."}	0.362
RELATION_GENEHPOTERM_journal.pone.0035922.pdf_407_407_44_44_52_52	NF/HP:0000969|Edema	{44}	{52}	{Effects,of,Inotilone,on,Carr,—,induced,MMP,—,9,and,NF-KB,Protein,Expressions,in,Mouse,Paw,Edema,The,results,showed,that,the,injection,of,inotilone,(,5,mg,/,kg,),on,Carr,—,induced,for,5,h,inhibited,MMP,—,9,and,NF,-,KB,proteins,expression,in,mouse,paw,edema,(,Fig,.}	{"OO35922 .",tO01}	{"4B and 4C ) .","The intensity of protein bands was analyzed by using Kodak Quantity software in three independent experiments and the result of it showed an average of 69.3 % reduction of MMP — 9 protein after the treatment with inotilone at 5 mg / kg compared with the Carr — induced alone ."}	0.242
RELATION_GENEHPOTERM_SUP_F_H_journal.pone.0024491.pdf_448_448_6_6_16_16_UNSUP	E3/l	{6}	{16}	{For,HAdVs,",",the,number,of,E3,ORF,’s,ranges,between,6,and,9,[,"7,2",l,],.}	{"the proposed recombination event that created HAdV-D25 when we combined the sequences of HAdV-D25-FM2 10542 and HAdVD26-FM2lO543 , which are also 100 % identical ( Table 2 ) , with the 3 ' sequences of HAdV-D25-AJ81 1448 and HAdV-D26-A \\\\ ] 8l 1449 ( see Materials and Methods ) , respectively ( Table 2 ) .","When this data is considered together , we ﬁnd no concrete evidence that the shaft / knob junction is a hot-spot for recombination ."}	{"HAdVs in species HAdV-D and HAdV-G contain the","` x PLoS ONE | www ."}	0.256
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0039450.pdf_244_244_11_11_25_26_UNSUP	AA/HP:0000823|Delayed puberty	{11}	{25,26}	{Pitteloud,N,",",Acierno,JS,Jr,",",lV1eysing,AU,",",Dwyer,AA,",",Hayes,FJ,",",et,al.,(,2005,),Reversible,kallmann,syndrome,",",delayed,puberty,",",and,isolated,anosmia,occurring,in,a,single,family,with,a,mutation,in,the,fibroblast,growth,factor,receptor,1,gene,.}	{"\\\\ Ietab 86 : 24704 2475 .","16 ."}	{"J Clin Endocrinol l \\\\ ’ Ietab 90 : 131741322 .","17 ."}	0.408
RELATION_GENEHPOTERM_SCPDFS_40341.pdf_108_108_19_19_28_28	IL-9/HP:0002099|Asthma	{19}	{28}	{Moreover,",",the,pleiotropic,functions,of,this,cytokine,pathway,in,the,allergic,immune,response,strongly,support,a,role,for,IL-9,and,its,receptor,in,the,complex,pathogenesis,of,asthma,.}	{"The IL-9 receptor is the only known gene transcribed from the long arm pseudoautosomal regions of both the X and the Y chromosomes .","While this gene represents an asthma gene candidate based solely on its location , the pleiotropic role of this cytokine receptor and its ligand are well known and potentially relevant to atopic allergy and asthma ( 8 , 10 ) ."}	{"Therefore , further study of the IL-9 receptor and associated genes in a related biologic pathway may provide potentially useful insights into the pathogenesis of asthma .","Conﬁrmation of linkage to long arm pseudoautosomal region and the IL-9 receptor locus in other asthmatic populations will be required to assess the importance of this candidate for atopic asthma in the absence of a disease-causing mutation ."}	0.506
RELATION_GENEHPOTERM_journal.pone.0028356.pdf_184_184_3_3_7_7	CN/HP:0003006|Neuroblastoma	{3}	{7}	{The,TH-A/I1,”,CN,murine,model,for,neuroblastoma,has,been,well-characterized,from,the,histopathological,",",gene,expression,and,genome,instability,point,of,view,[,24/26,",34",],.}	{Discussion,"The importance of highly representative murine models for studying human pathologies and for developing new pharmacological treatments is established [ 32 ] , however it is necessary to determine on a case-by-case basis the degree to which each model faithfully mimics human pathology ."}	{"Here , we identify miRNAs that are differentially expressed in this model ( relative to adrenal controls ) .","Crosscomparison between this and previous human studies reveals similarities and differences between the mouse model and the human pathology with regard to miRNA expression ."}	0.248
RELATION_GENEHPOTERM_journal.pone.0068366.pdf_220_220_1_1_7_8	TRAMP/HP:0012125|Prostate cancer	{1}	{7,8}	{Both,TRAMP,Cl,and,TRAMP,C2,murine,prostate,cancer,cells,undergo,cell,death,with,increasing,concentrations,of,anti-,B2-M,Ab,(,Figure,3A,),.}	{"M Ab Prevents Tumor Growth in a Spontaneous | mmuno — competent Transgenic Adenocarcinoma of Mouse Prostate ( TRAMP ) Mice Model TRAMP Cl and TRAMP C2 prostate cancer cells [ 21 ] are cell lines derived from spontaneous mouse model of adenocarcinoma .","We performed in vitro studies to test the effect of anti-B2-M Ab in the TRAMP cell lines ."}	{"Next , we tested the effects of the antibody in viva .","TRAMP mice ( age 21 to 26 weeks ) were paired and treated either with a control IgG or anti- [ 32-M Ab group ( n = 4 ) ."}	0.21
RELATION_GENEHPOTERM_journal.pone.0008428.pdf_398_398_5_5_12_13	insulin/HP:0001397|Hepatic steatosis	{5}	{12,13}	{Long,term,",",more,prolonged,insulin,pulses,may,increase,the,risk,of,hepatic,steatosis,due,to,prolonged,insulin,action,",",as,has,been,suggested,[,"40,41",],.}	{"This suggests that imprinting extends to the patterning of insulin exocytosis from beta cells .","Possible Physiological Significance of Imprinting In Vivo Different insulin pulse patterning may differentially affect the metabolic homeostasis of the animals if the frequency of the insulin oscillations in turn determines how effectively secreted insulin suppresses hepatic glucose production , one of the major targets of insulin action ."}	{"Differences in pulsatility could also affect the uptake of glucose by muscle and fat tissue [ 42 ~ 45 ] .","While the extant data reported in the literature are variable , we hypothesize that changes in the dynamics of islet insulin pulsatility , in addition to changes in islet mass might also compensate for increased insulin resistance under homeostatic conditions [ 46,47 ] ."}	0.32
RELATION_GENEHPOTERM_journal.pone.0084251.pdf_502_502_21_21_29_31	p22/HP:0001677|Coronary artery disease	{21}	{29,30,31}	{Stanger,O,",",Renner,VV,",",Khoschsorur,G,",",Rigler,B,",",VVascher,TC,(,2001,),NADH,/,NADPH,oxidase,p22,phox,C242T,polymorphism,and,lipid,peroxidation,in,coronary,artery,disease,.}	{"Egger NI , Davey Smith G , Schneider IVI , 1\\\\/Iinder C ( 1997 ) Bias in meta-analysis detected by a simple , graphical test .","British Medical Journal 315 : 629 — 634 ."}	{"Clinical Physiology 21 : 718 — 722 .","Zafari ARI , Davidoff 1 \\\\ ’ IN , Austin H , Valppu L , Cotsonis G , et al. ( 2002 ) The A640G and C242T p22 phox polymorphisms in patients with coronary artery disease ."}	0.684
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0097326.pdf_1156_1156_16_16_13_13_UNSUP	insulin/HP:0003074|Hyperglycemia	{16}	{13}	{these,genes,(,ENPPI,and,ESP,),is,consistent,with,the,HYP,mice,hyperglycemia,and,altered,insulin,sensitivity,.}	{"OO97326 .",tO07}	{"A marked and signiﬁcant increased bone-expression of FAMQOC kinase occurred in HYP mice relative to \\\\ / VT-mice .","Of relevance , targeted deletion of FAMQOC in mice results in autosomal hypophosphatemic rickets ( ARHR 2 ) [ 72 — 75 ] ."}	0.758
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0063723.pdf_452_452_26_27_32_33	androgen_receptor/HP:0012125|Prostate cancer	{26,27}	{32,33}	{Thomas,C,",",Zoubeidi,A,",",Kuruma,H,",",Fazli,L,",",Lamoureux,F,",",et,al.,(,201,1,),Transcription,factor,Stat5,knockdown,enhances,androgen,receptor,degradation,and,delays,castration-resistant,prostate,cancer,progression,in,vivo,.}	{"Gu L , Vogiatzi P , Puhr M , Dagvadorj A , Lutz J , et al. ( 2010 ) Stat5 promotes metastatic behavior of human prostate cancer cells in vitro and in vivo .","Endocr Relat Cancer 17 : 481 — 493 ."}	{"l \\\\ ’ 1ol Cancer Ther 10 : 347 — 359 .",.}	0.358
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0072144.pdf_232_232_29_29_34_34_UNSUP	BAP1/HP:0002861|Melanoma	{29}	{34}	{Abdel-Rahman,l,"\\\\",’,IH,",",Pilarski,R,",",Cehulla,Cl,"\\\\",’,I,",",l,"\\\\",’,Iassengil1JB,",",Christopher,BN,",",et,al.,(,2011,),Germline,BAP1,mutation,predisposes,to,uveal,melanoma,",",lung,adenocarcinoma,",",meningioma,",",and,other,cancers,.}	{"Testa JR , Cheung l \\\\ ’ I , Pei J , Below JE , Tan Y , et al. ( 2011 ) Germline BAP1 mutations predispose to ma_lignant mesothelioma .","Nat Genet 43 : 1022 * 1025 ."}	{"J Nled Genet 48 : 856 * 859 .","VViesner T , Obenauf AC , lVlurali R , Fried 1 , Griewank KG , et al. ( 2011 ) Germline mutations in BAP1 predispose to melanocytic tumors ."}	0.8
RELATION_GENEHPOTERM_journal.pone.0026737.pdf_401_401_30_30_22_23	CDKN2A/HP:0009725|Bladder neoplasm	{30}	{22,23}	{Sakano,S,",",Berggren,P,",",Kumar,R,",",Steineck,G,",",Ado1fssonJ,",",et,al.,(,2003,),Clinical,course,of,bladder,neoplasms,and,single,nucleotide,polymorphisms,in,the,CDKN2A,gene,.}	{"Internationaljournal of oncology 25 : 1447 — l452 .","17 ."}	{"International journal of cancerJournal international du cancer 104 : 98 — 103 .","18 ."}	0.33
RELATION_GENEHPOTERM_journal.pone.0078895.pdf_211_211_5_5_7_7	EGFR/HP:0010762|Chordoma	{5}	{7}	{In,the,largest,study,evaluating,EGFR,in,chordoma,",",EGFR,expression,was,reported,in,79,out,of,114,(,69,%,),chordomas,and,57,out,of,115,(,51,%,),samples,expressed,phosphorylated,EGFR,[,11,],.}	{"These immunohistochemistrybased studies reported that between 32 and 100 % of the chordoma samples examined were positive for EGFR .","Activation of EGFR has also been investigated in several studies ; these studies reported between 43 and 100 % of chordomas express phosphorylated EGFR [ 10 — 12,15 ] ."}	{"EGFR polysomy has been reported in a variable number of chordoma samples ( 17-52 % ) by FISH [ 9 — 12 ] .","In the largest of these studies , Shalaby et al. demonstrated that close to 40 % of 147 chordomas had high EGFR copy number [ 11 ] ."}	0.332
RELATION_GENEHPOTERM_journal.pone.0008329.pdf_284_284_47_47_40_41	MELAS/HP:0003128|Lactic acidosis	{47}	{40,41}	{We,found,a,~,30,—,40,%,reduction,of,mt,—,nd5,and,ndufs,],",",two,mitochondria,encoded,genes,that,belong,to,complex,I.,Mutations,of,these,genes,are,associated,with,complex,I,deﬁciency,and,mitochondrial,encephalomyopathy,",",lactic,acidosis,",",and,stroke-like,episodes,(,MELAS,),",",two,disorders,which,have,neurological,manifestations,[,l3,",",l4,",",l5,],.}	{"Together , these results suggest that the eﬁ ’ / 2 mutation in my results in metabolic reprogramming , which is not restricted to and can not fully compensate for the defect in the fatty acid oxidation .","In order to gain more insight into the mitochondrial dysfunction in my and the underlying molecular mechanisms , we proﬁled the expression of genes known to be involved in mitochondrial function and biogenesis with qRT-PCR ( Figure 3G ) ."}	{"The expression of pgc — ] ﬁ , esrroc and ppm ) » , genes involved in transcriptional regulation of energy metabolism , were increased ~ 24 , 1.5 and 2.8 fold , respectively .","Interestingly , expression of zebraﬁsh uncoupling protein 4 ( ﬁwpéﬁ , which is proposed to be responsible for uncoupling of respiration from ATP synthesis and thus protect against reactive oxygen species ( ROS ) production , showed a ~ 6 fold increase , while 145122 expression remained unchanged ."}	0.396
RELATION_GENEHPOTERM_SUP_MAP_journal.pone.0056692.pdf_121_121_26_26_32_33_UNSUP	AR/HP:0012125|Prostate cancer	{26}	{32,33}	{Use,of,Casodex,to,Determine,the,Role,of,AR,in,the,Cell,Cycle,of,Synchronized,LNCaP,Cells,AR,knockdown,strategies,have,been,used,to,demonstrate,that,AR,is,required,for,proliferation,of,prostate,cancer,cells,[,"8,9",",",l0,",11,12",],.}	{"Slides were mounted with Vectashield Mounting Medium containing DAPI ( Vector Laboratories , Burlingame , CA ) and photomicrography was performed with a Zeiss Axiofot microscope equipped for epiﬂuorescence .",Results}	{"However , AR knockdown by siRNA or shRNA requires treatment of prostate cancer cells over a period of several days .","Thus , this approach can not be used to identify when in the cell cycle ( i.e. , G1 , S , or G2/M phases ) AR is required for proliferation of LNCaP cells , as each phase of the cell cycle lasts no more than few hours ."}	0.826
RELATION_GENEHPOTERM_journal.pone.0044532.pdf_425_425_38_38_30_31	insulin/HP:0001658|Myocardial infarction	{38}	{30,31}	{Juhan-Vague,I,",",1VIorange,PE,",",Frere,C,",",Aillaud,RIF,",",Alessi,IVIC,",",et,al.,(,2003,),The,plasminogen,activator,inhibitor-1-675,4G/5G,genotype,inﬂuences,the,risk,of,myocardial,infarction,associated,with,elevated,plasma,proinsulin,and,insulin,concentrations,in,men,from,Europe,:,the,HIFl,"\\\\",’,IECH,study,.}	{"Thromb Haemost 106 : 416 — 422 .","2 ."}	{"J Throml ) Haemost 1 : 2322 — 2329 .","3 ."}	0.436
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_20831.pdf_535_535_0_0_15_15	p53/HP:0001909|Leukemia	{0}	{15}	{p53,is,critical,for,the,aurora,B,kinase,inhibitor,—,mediated,apoptosis,in,acute,myelogenous,leukemia,cells,.}	{"15 , 1435-1442 .","lkezoe , T. , Yang , J. , Nishioka , C. , Yokoyama , A. , 2010 ."}	{"Int .","J. Hematol ."}	0.466
RELATION_GENEHPOTERM_journal.pone.0046251.pdf_21_21_68_68_57_58	TAF15/HP:0012254|Ewing's sarcoma	{68}	{57,58}	{|,nt,|,-,oduction,and,EWS,are,detected,in,dendritic,RNA-transporting,granules,suggesting,a,role,in,RNA,transportation,and,localization,The,FET,—,protein,family,includes,FUS,(,fused,in,sarcoma,",",also,[,19,20,21,"}",During,the,mammalian,brain,development,the,FET,called,TLS,(,translocated,in,liposarcoma,»,",",EVV,S,(,Ewing,sarcoma,breakpoint,1,",",also,called,EWSRI,),",",and,TAF15,(,TATA,box,binding,protein,associated,factor,68,kDa,),[,1,],.}	{"Competing Interests : The authors have declared that no competing interests exist .","* E — mai | : a | n@hum—gen.au.dk"}	{"The FET — proteins are RNA — and DNA — binding proteins composed of several conserved domains including a SYGQrich domain in the Nterminal part , a G-rich domain , an RNA-binding domain ( RRM ) , azinoﬁnger OfRanBP2 ' type and a C'termina 1RGG ' riCh domain overexpressed in prostate tumors [ 26 ] .","Mutations in the FUS , [ 2 ] ' The Nﬂjrminal domains have a transcriptional trans ‘ EWS and the TAF15 genes are reported in familiar and sporadic activating function in zxitro [ 3 ] ."}	0.45
RELATION_GENEHPOTERM_SUP_MAP_SCPDFS_47004.pdf_42_42_8_8_12_12_UNSUP	SDH/HP:0002666|Pheochromocytoma	{8}	{12}	{Mutations,in,any,of,several,different,subunits,of,SDH,cause,paragangliomas,and,pheochromocytomas,",",whereas,FH,m,utations,have,now,been,found,in,benign,leiomyomatas,of,the,skin,and,uterus,(,fibroids,),",",as,well,as,in,a,specifictype,of,kidney,cancer,[,1,],.}	{"Fumarase ( fumarate hydratase ; FH ) and succinate dehydrogenase ( SDH ) , both with wellcharacterized functions in energy metabo | ism , turn out also to betumour suppressors .","In both cases , inheritance of heterozygous ( null ) mutations is associated with familial predisposition to certain types oftumour , but actual tumour development requires aclassic ‘ second-hit ’ somatic mutation ."}	{"Uterine fibroids are , moreover , a major human health problem .","FH and SDH mutations also cause classical mitochondrial encephalopathies , but with recessive inheritance ."}	0.87
RELATION_GENEHPOTERM_SUP_F_GH_journal.pone.0054852.pdf_592_592_18_18_31_31_UNSUP	RB/—	{18}	{31}	{BarlowJ,",",Silveira,Jl,"\\\\",’,I,",",l,"\\\\",’,Iestre,LAl,"\\\\",’,I,",",Andrade,RB,",",D’Andrea,GC,",",et,al.,(,2012,),VVildfires,in,bamboo,—,dominated,Amazonian,forest,:,impacts,on,above-ground,biomass,and,biodiversity,.}	{"Journal of Tropical Ecology 27 : 59 — 64 .","10 ."}	{"PLoS ONE 7 : C33373 .","11 ."}	0.21
RELATION_GENEHPOTERM_journal.pone.0084246.pdf_736_736_28_28_39_39	CD8/HP:0001945|Fever	{28}	{39}	{Franzoni,G,",",Kurkure,N,",",Edgar,D,",",Everett,H,",",Gerner,VV,",",et,al.,(,2013,),Assessment,of,the,Phenotype,and,Functionality,of,Porcine,CD8,T,Cell,Responses,following,Vaccination,with,Live,Attenuated,Classical,Swine,Fever,Virus,and,V,irulent,Virus,Challenge,.}	{"Gm edition Paris , France : \\\\ Vorld Organization for Animal Health ( OIE ) ; pp 109241106 .","21 ."}	{"Clin Vaccine Immunol .","Published ahead of print , doi : 10 ."}	0.476
RELATION_GENEHPOTERM_SCPDFS_240.pdf_625_625_18_18_11_13	SPOP/HP:0012125|Prostate cancer	{18}	{11,13}	{AR,mutants,8646A,",",S647A,",",T648A,",",and,T649A,and,prostate,—,cancer,—,associated,mutants,of,SPOP,were,generated,by,site,—,specific,mutagenesis,(,Stratagene,),.}	{"— .","SPOP were cloned into pCMV vector ."}	{"AR deletion mutants AEGSSS , AASS ' | ' | ' , 2A , and Myc .","— ."}	0.582
RELATION_GENEHPOTERM_journal.pone.0103030.pdf_569_569_20_20_30_30	HBA/HP:0009733|Glioma	{20}	{30}	{Thirteen,major,discriminators,between,low,-,and,high,—,grade,tumor,samples,were,found,:,expression,levels,of,HCD2,",",HBA,and,HBD,were,strongly,up-regulated,in,high,—,grade,gliomas,",",whereas,CRYAB_b,",",IPYR,",",TPIS,",",PEA15,",",PSDI3,",",GFAP,",",PHP14,",",6PGL,",",KCRB,",",IDH3A,had,higher,expression,in,lowgrade,than,high,—,grade,tumors,(,component,PC2,",",Figure,3A,",",right,),.}	{"PC1 ( score vector tl ) was found to discriminate controls from tumors ; PC2 ( score vector t2 ) separated low-grade from highgrade gliomas ( Figure 3A , left ) .","Seven major discriminators between control and tumor samples were found : expression levels of APOAI , PRDX3_a and CLIC1 were higher in tumors than in normal brain cortex , whereas signiﬁcantly lower levels of NFM , CN37 , NDUSI and MDHC were found in tumors as compared with normal tissues ( component PCI , Figure 3A , right ) ."}	{"PCA analysis also revealed that UCHLI have a high discriminating power of this marker when contro1 / low-grade samples were compared with high — grade tumors .","Global sets of protein marker with higher ( Figure S3B , C ) and lower discriminating power ( Figure S3D ) were identiﬁed ."}	0.502
RELATION_GENEHPOTERM_SUP_F_GH_SCPDFS_4126.pdf_572_572_19_19_5_5_UNSUP	RPC/rgc	{19}	{5}	{Results,in,this,study,defend,RGCs,’,general,role,in,retino,—,genesis,including,regulating,retinal,progenitor,cell,(,RPC,),proliferation,and,affecting,the,planar,distribution,of,other,retinal,cell,types,.}	{"Therefore , we propose that early and late retinal progenitors respond differently to RGC shortage .","Is Sonic hedgehog secreted by RGCs the major player in regulating progenitor cell proliferation and retinal patterning ?"}	{"Our results do not allow us to pinpoint the ﬁinction of a speciﬁc molecule that is secreted by the RGCs .","One may exert a reasonable speculation that , out of all possible factors secreted by the RGCs , Sonic hedgehog ( Shh ) may play the major role in regulating RPC proliferation and patteming the retina ."}	0.494
